title,subtitle,link
MISSING REISS,AC Milan 'offered Arsenal star on free' with no new Emirates contract agreed,https://www.thesun.co.uk/sport/22170231/reiss-nelson-ac-milan-arsenal-transfer-contract/
OH JES,Stunning Wag of ex-Barca star joins no bra club and leaves little to imagination,https://www.thesun.co.uk/sport/22169970/stunning-wag-barcelona-no-bra-club/
PILAR NICE,Sergio Ramos' stunning wife Pilar Rubio wows in plunging floral swimsuit & skirt,https://www.thesun.co.uk/sport/22173945/sergio-ramos-wife-pilar-rubio-swimsuit/
HANDS ON DEC,Watch dancing Rice gatecrash West Ham U18 party after Youth Cup win vs Arsenal,https://www.thesun.co.uk/sport/22162682/declan-rice-west-ham-youth-cup-arsenal/
VARD LINES,‘Can’t say what I want’ - Vardy makes cryptic comment to avoid ‘getting done’,https://www.thesun.co.uk/sport/22164985/jamie-vardy-leicester-leeds-cryptic-comment/
GUNNING FOR HIM,Gers 'chase ex-Arsenal star' as Michael Beale eyes winger in cut-price deal,https://www.thesun.co.uk/sport/22174795/rangers-arsenal-chris-willock-michael-beale-qpr-transfer/
GARNA GO,What Garnacho told Ten Hag with Utd set to lose ace to U20 World Cup at worst time,https://www.thesun.co.uk/sport/22163162/alejandro-garnacho-erik-ten-hag-man-utd-argentina/
KANE IT WORK?,Ten Hag looking to show tactical genius as he reveals plan to stop Kane,https://www.thesun.co.uk/sport/22167077/ten-hag-kane-man-utd-spurs/
SEVEN HEAVEN,Seven best Prem title 'deciders' in history ahead of Arsenal vs Man City,https://www.thesun.co.uk/sport/22161127/best-premier-league-title-deciders-arsenal-man-city/
CHAOS REIGNS,Martinez admits creating chaos as he reveals how he got into Fernandes’ head,https://www.thesun.co.uk/sport/22165090/emi-martinez-fernandes-brutal-ronaldo-joke/
BRU HOPE,Erik ten Hag gives Bruno Fernandes injury update ahead of crunch Tottenham clash,https://www.thesun.co.uk/sport/22166035/man-utd-ten-hag-bruno-fernandes-injury-update/
ON THE RY-SE,Ryan Mason throws hat in the ring for permanent Tottenham manager job,https://www.thesun.co.uk/sport/22167973/ryan-mason-permanent-tottenham-manager-job/
BOOZE CONTROL,I was Prem star but would get blackout drunk - I've woken up in a police cell,https://www.thesun.co.uk/sport/22166438/steven-caulker-tottenham-liverpool-alcohol-problems/
'LOVE THAT',Fans hail what 'class act' Kompany did after Burnley star taunted hated rivals,https://www.thesun.co.uk/sport/22164753/kompany-burnley-blackburn/
GET THEIR PHILL,Liverpool make Kalvin Phillips No1 transfer target as they line up £35m bid,https://www.thesun.co.uk/sport/22157178/liverpool-transfer-news-kalvin-phillips-manchester-city/
JO FOR IT,Man Utd want Joao Palhinha with Fulham star targeted to bolster midfield,https://www.thesun.co.uk/sport/22161484/man-utd-joao-palhinha-transfer-fulham/
FORWARD MARCH,Osimhen set for Premier League transfer as Napoli eye Abraham to replace him,https://www.thesun.co.uk/sport/22164236/victor-osimhen-tammy-abraham-napoli-aston-villa-transfer/
BAR-D NEWS,Barcelona stars ‘REJECT salary cuts as club aim to trim wage bill to sign Messi’,https://www.thesun.co.uk/sport/22165091/barcelona-franck-kessie-andreas-christensen-contract-lionel-messi/
MAN UTD LIVE,Sir Jim Ratcliffe 'offers' Glazers a huge deal while United eye Vanderson,https://www.thesun.co.uk/sport/22071435/man-utd-news-live-takeover-sir-jim-ratcliffe-glazers-vanderson/
ARSENAL LIVE,"Piers Morgan SLAMS Man City defeat, Nelson 'offered' to AC Milan",https://www.thesun.co.uk/sport/22071119/arsenal-news-live-piers-morgan-man-city-reaction-reiss-nelson-fresneda/
CHELSEA LIVE,'Verbal agreement reached' with Mauricio Pochettino as Blues lose AGAIN,https://www.thesun.co.uk/sport/22147005/chelsea-manager-news-live-mauricio-pochettino-verbal-agreement-reached/
ANY FREE GUY,I'm Wrexham's hottest fan - I want Ryan Reynolds to set me up with his mates,https://www.thesun.co.uk/sport/22161078/onlyfans-wrexham-hottest-fan-ryan-reynolds-rob-mcelhenney/
WREX APPEAL?,Ryan Reynolds doubles down on golf-themed plot to get Bale to join Wrexham,https://www.thesun.co.uk/sport/22166519/ryan-reynolds-doubles-down-bale-wrexham-free-transfer/
NEXT SUPERSTARS,Balotelli says four footballers can follow in Ronaldo and Messi's footsteps,https://www.thesun.co.uk/sport/22173767/next-ronaldo-messi-balotelli/
BUM NOTE,Burnley star plays the bongos on team-mate's BUM in wild title celebrations,https://www.thesun.co.uk/sport/22159821/burnley-bongos-bum-championship-celebrations/
'BRAVE & HONEST',Spanish footballer comes out as gay by kissing boyfriend after promotion,https://www.thesun.co.uk/sport/22162695/spanish-footballer-gay-promotion-celebrations-boyfriend-kiss/
TONY ADAMS,Arteta is ‘Pep Lite’… but he needs a Plan B vs Man City or title dream is OVER,https://www.thesun.co.uk/sport/22159036/tony-adams-mikel-arteta-pep-guardiola-arsenal-man-city/
DAVE KIDD,"Rodgers would be excellent next Spurs manager, but delusional fans could ruin it",https://www.thesun.co.uk/sport/22147434/brendan-rodgers-spurs-manager-fans/
HARRY REDKNAPP,Bournemouth are benchmark for everyone outside elite thanks to Gary O'Neil,https://www.thesun.co.uk/sport/22129438/harry-redknapp-bournemouth-gary-oneil-praise/
FLOWER POWER,Pique spotted romancing girlfriend with red roses on romantic trip to Dubai,https://www.thesun.co.uk/sport/22164878/gerard-pique-romancing-clara-chia-red-roses-trip-dubai/
HOLLY MOLY,Chilwell’s ex Holly Scarfone shows off sensational bikini body with bum video,https://www.thesun.co.uk/sport/22149302/chilwells-holly-scarfone-bikini/
STAR TURN,Meet Rangers icon's daughter who has 1.5m Insta fans & her own reality TV show,https://www.thesun.co.uk/sport/22160759/rangers-icon-daughter-instagram-tv-star-charlotte-claudio-caniggia/
